x,y,u
0.373737,0.020202,0.00632037
0.383838,0.020202,0.00636276
0.393939,0.020202,0.00640141
0.40404,0.020202,0.00643637
0.414141,0.020202,0.00646769
0.424242,0.020202,0.00649542
0.434343,0.020202,0.00651959
0.444444,0.020202,0.00654025
0.454545,0.020202,0.00655742
0.464646,0.020202,0.00657112
0.474747,0.020202,0.00658139
0.484848,0.020202,0.00658822
0.494949,0.020202,0.00659163
0.505051,0.020202,0.00659163
0.515152,0.020202,0.00658822
0.525253,0.020202,0.00658139
0.535354,0.020202,0.00657112
0.545455,0.020202,0.00655742
0.555556,0.020202,0.00654025
0.565657,0.020202,0.00651959
0.575758,0.020202,0.00649542
0.585859,0.020202,0.00646769
0.59596,0.020202,0.00643637
0.606061,0.020202,0.00640141
0.616162,0.020202,0.00636276
0.626263,0.020202,0.00632037
0.636364,0.020202,0.00627416
0.646465,0.020202,0.00622406
0.656566,0.020202,0.00617001
0.666667,0.020202,0.0061119
0.676768,0.020202,0.00604966
0.686869,0.020202,0.00598317
0.69697,0.020202,0.00591233
0.707071,0.020202,0.00583701
0.717172,0.020202,0.00575709
0.727273,0.020202,0.00567241
0.737374,0.020202,0.00558283
0.747475,0.020202,0.00548816
0.757576,0.020202,0.00538823
0.767677,0.020202,0.00528283
0.777778,0.020202,0.00517173
0.787879,0.020202,0.0050547
0.79798,0.020202,0.00493145
0.808081,0.020202,0.0048017
0.818182,0.020202,0.0046651
0.828283,0.020202,0.00452129
0.838384,0.020202,0.00436985
0.848485,0.020202,0.00421032
0.858586,0.020202,0.00404216
0.868687,0.020202,0.00386477
0.878788,0.020202,0.00367746
0.888889,0.020202,0.00347939
0.89899,0.020202,0.00326962
0.909091,0.020202,0.003047
0.919192,0.020202,0.00281014
0.929293,0.020202,0.00255731
0.939394,0.020202,0.00228632
0.949495,0.020202,0.00199431
0.959596,0.020202,0.00167742
0.969697,0.020202,0.00133019
0.979798,0.020202,0.000944527
0.989899,0.020202,0.000507853
1,0.020202,0
0,0.030303,0
0.010101,0.030303,0.000705426
0.020202,0.030303,0.00133019
0.030303,0.030303,0.00189137
0.040404,0.030303,0.00240154
0.0505051,0.030303,0.00286982
0.0606061,0.030303,0.00330289
0.0707071,0.030303,0.00370575
0.0808081,0.030303,0.00408223
0.0909091,0.030303,0.00443535
0.10101,0.030303,0.00476753
0.111111,0.030303,0.00508074
0.121212,0.030303,0.00537663
0.131313,0.030303,0.00565659
0.141414,0.030303,0.0059218
0.151515,0.030303,0.00617328
0.161616,0.030303,0.00641192
0.171717,0.030303,0.00663849
0.181818,0.030303,0.00685369
0.191919,0.030303,0.00705812
0.20202,0.030303,0.00725234
0.212121,0.030303,0.00743683
0.222222,0.030303,0.00761205
0.232323,0.030303,0.00777838
0.242424,0.030303,0.00793621
0.252525,0.030303,0.00808585
0.262626,0.030303,0.00822761
0.272727,0.030303,0.00836178
0.282828,0.030303,0.0084886
0.292929,0.030303,0.00860831
0.30303,0.030303,0.00872112
0.313131,0.030303,0.00882723
0.323232,0.030303,0.00892683
0.333333,0.030303,0.00902006
0.343434,0.030303,0.0091071
0.353535,0.030303,0.00918808
0.363636,0.030303,0.00926312
0.373737,0.030303,0.00933235
0.383838,0.030303,0.00939587
0.393939,0.030303,0.00945377
0.40404,0.030303,0.00950614
0.414141,0.030303,0.00955306
0.424242,0.030303,0.0095946
0.434343,0.030303,0.00963082
0.444444,0.030303,0.00966177
0.454545,0.030303,0.00968749
0.464646,0.030303,0.00970803
0.474747,0.030303,0.0097234
0.484848,0.030303,0.00973364
0.494949,0.030303,0.00973876
0.505051,0.030303,0.00973876
0.515152,0.030303,0.00973364
0.525253,0.030303,0.0097234
0.535354,0.030303,0.00970803
0.545455,0.030303,0.00968749
0.555556,0.030303,0.00966177
0.565657,0.030303,0.00963082
0.575758,0.030303,0.0095946
0.585859,0.030303,0.00955306
0.59596,0.030303,0.00950614
0.606061,0.030303,0.00945377
0.616162,0.030303,0.00939587
0.626263,0.030303,0.00933235
0.636364,0.030303,0.00926312
0.646465,0.030303,0.00918808
0.656566,0.030303,0.0091071
0.666667,0.030303,0.00902006
0.676768,0.030303,0.00892683
0.686869,0.030303,0.00882723
0.69697,0.030303,0.00872112
0.707071,0.030303,0.00860831
0.717172,0.030303,0.0084886
0.727273,0.030303,0.00836178
0.737374,0.030303,0.00822761
0.747475,0.030303,0.00808585
0.757576,0.030303,0.00793621
0.767677,0.030303,0.00777838
0.777778,0.030303,0.00761205
0.787879,0.030303,0.00743683
0.79798,0.030303,0.00725234
0.808081,0.030303,0.00705812
0.818182,0.030303,0.00685369
0.828283,0.030303,0.00663849
0.838384,0.030303,0.00641192
0.848485,0.030303,0.00617328
0.858586,0.030303,0.0059218
0.868687,0.030303,0.00565659
0.878788,0.030303,0.00537663
0.888889,0.030303,0.00508074
0.89899,0.030303,0.00476753
0.909091,0.030303,0.00443535
0.919192,0.030303,0.00408223
0.929293,0.030303,0.00370575
0.939394,0.030303,0.00330289
0.949495,0.030303,0.00286982
0.959596,0.030303,0.00240154
0.969697,0.030303,0.00189137
0.979798,0.030303,0.00133019
0.989899,0.030303,0.000705426
1,0.030303,0
0,0.040404,0
0.010101,0.040404,0.000881639
0.020202,0.040404,0.00167742
0.030303,0.040404,0.00240154
0.040404,0.040404,0.00306554
0.0505051,0.040404,0.00367854
0.0606061,0.040404,0.00424767
0.0707071,0.040404,0.00477857
0.0808081,0.040404,0.00527569
0.0909091,0.040404,0.00574265
0.10101,0.040404,0.00618241
0.111111,0.040404,0.00659743
0.121212,0.040404,0.00698977
0.131313,0.040404,0.00736119
0.141414,0.040404,0.0077132
0.151515,0.040404,0.00804712
0.161616,0.040404,0.00836408
